,game,year,genre,publisher,north america,europe,japan,rest of world,global
535,WRC 5: FIA World Rally Championship,2015.0,Racing,Bigben Interactive,0.0,0.05,0.0,0.01,0.06
536,Black Mirror,2017.0,Adventure,THQ Nordic,0.04,0.0,0.0,0.01,0.05
537,Touhou Genso Wanderer,2017.0,Action,NIS America,0.04,0.0,0.0,0.01,0.05
538,Arcania: Gothic 4,2015.0,Role-Playing,Nordic Games,0.04,0.0,0.0,0.01,0.05
539,Starblood Arena VR,2017.0,Shooter,Sony Interactive Entertainment,0.04,0.0,0.0,0.01,0.05
540,Hellblade,2018.0,Action-Adventure,505 Games,0.03,0.01,0.0,0.01,0.05
541,Bubsy: The Woolies Strike Back,2017.0,Platform,Accolade,0.04,0.0,0.0,0.01,0.05
542,Nitroplus Blasterz: Heroines Infinite Duel,2015.0,Fighting,Marvelous Interactive,0.01,0.01,0.03,0.0,0.05
543,Nobunaga's Ambition: Creation,2014.0,Strategy,Tecmo Koei,0.04,0.0,0.0,0.01,0.05
544,Child of Light,2014.0,Role-Playing,Ubisoft,0.0,0.01,0.04,0.0,0.05
545,Phantasy Star Online 2 Episode 4: Deluxe Package,2017.0,Role-Playing,Sega,0.0,0.0,0.05,0.0,0.05
546,Saints Row: Gat out of Hell,2015.0,Action,Deep Silver,0.0,0.04,0.0,0.01,0.05
547,Werewolves Within,2016.0,Misc,Ubisoft,0.04,0.0,0.0,0.01,0.05
548,Demon Gaze 2,2017.0,Role-Playing,NIS America,0.04,0.0,0.0,0.01,0.05
549,Real Farm,2017.0,Simulation,Soedesco,0.04,0.0,0.0,0.01,0.05
550,Worms: WMD,2016.0,Strategy,Team17 Digital Ltd,0.02,0.02,0.0,0.01,0.05
551,Syberia III,2017.0,Adventure,Microids,0.04,0.0,0.0,0.01,0.05
552,Sengoku Basara: Sanada Yukimura-Den,2016.0,Action,Capcom,0.0,0.0,0.05,0.0,0.05
553,Sengoku Basara 4: Sumeragi,2015.0,Action,Capcom,0.0,0.0,0.05,0.0,0.05
554,Sbastien Loeb Rally Evo,2016.0,Racing,Milestone S.r.l,0.0,0.04,0.0,0.01,0.05
555,Don't Starve,2018.0,Adventure,505 Games,0.04,0.0,0.0,0.01,0.05
556,Monster Jam: Crush It,2016.0,Racing,GameMill,0.04,0.0,0.0,0.01,0.05
557,Prison Architect,2016.0,Simulation,Introversion Software,0.02,0.02,0.0,0.01,0.05
558,Assault Suit Leynos,2016.0,Shooter,Rising Star Games,0.04,0.0,0.0,0.01,0.05
559,Tokyo Twilight Ghost Hunters Daybreak: Special Gigs,2016.0,Adventure,NIS America,0.04,0.0,0.0,0.01,0.05
560,Overcooked,2016.0,Action,Sold Out,0.04,0.0,0.0,0.01,0.05
561,Ben 10 (2017),2017.0,Action,Outright Games,0.04,0.0,0.0,0.01,0.05
562,Dead Alliance,2017.0,Shooter,Maximum Games,0.04,0.0,0.0,0.01,0.04
563,Deer Hunter Reloaded,2017.0,Shooter,Maximum Games,0.04,0.0,0.0,0.01,0.04
564,That's You,2017.0,Party,Sony Interactive Entertainment,0.04,0.0,0.0,0.01,0.04
565,Raid: World War II,2017.0,Shooter,505 Games,0.04,0.0,0.0,0.01,0.04
566,Hyperdimension Neptunia Victory II,2015.0,Role-Playing,Idea Factory International,0.0,0.0,0.04,0.0,0.04
567,Zero Escape The Nonary Games,2017.0,Adventure,Aksys Games,0.03,0.0,0.01,0.01,0.04
568,Rugby Challenge 3,2016.0,Sports,Alternative Software,0.0,0.04,0.0,0.01,0.04
569,Vikings: Wolves of Midgard,2017.0,Action,Kalypso Media,0.03,0.01,0.0,0.01,0.04
570,INSIDE / LIMBO Double Pack,2017.0,Platform,505 Games,0.04,0.0,0.0,0.01,0.04
571,The Talos Principle,2015.0,Puzzle,Nighthawk Interactive,0.0,0.04,0.0,0.01,0.04
572,Megadimension Neptunia VIIR,2017.0,Role-Playing,Compile Heart,0.01,0.0,0.03,0.0,0.04
573,R.B.I. Baseball 2016,2016.0,Sports,MLB.com,0.04,0.0,0.0,0.01,0.04
574,Pure Farming 2018,2018.0,Simulation,Techland,0.02,0.01,0.0,0.01,0.04
575,Air Conflicts: Secret Wars,2016.0,Simulation,Nighthawk Interactive,0.03,0.0,0.0,0.01,0.04
576,Anima - Gate of Memories,2016.0,Action,Avanquest,0.01,0.02,0.0,0.01,0.04
577,Axiom Verge,2017.0,Action,Badland Studio,0.03,0.0,0.0,0.01,0.04
578,Unbox: Newbie's Adventure,2017.0,Action,Merge Games,0.03,0.0,0.0,0.01,0.04
579,Here They Lie,2016.0,Adventure,Sony Interactive Entertainment,0.0,0.03,0.0,0.01,0.04
580,Under Night In-Birth Exe:Latest,2017.0,Fighting,Arc System Works,0.01,0.0,0.03,0.0,0.04
581,Aragami,2016.0,Action,Maximum Games,0.03,0.0,0.0,0.01,0.04
582,Yonder: The Cloud Catcher Chronicles,2017.0,Action,CokeM Interactive,0.03,0.0,0.0,0.01,0.04
583,Assassin's Creed Chronicles: China,2015.0,Action-Adventure,Ubisoft,0.0,0.03,0.0,0.01,0.04
584,JoJo's Bizarre Adventure: Eyes of Heaven,2015.0,Fighting,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
585,Dungeons 3,2017.0,Strategy,Kalypso Media,0.03,0.0,0.0,0.01,0.04
586,Tour de France 2014,2014.0,Sports,Focus Home Interactive,0.0,0.03,0.0,0.01,0.04
587,Danganronpa Another Episode: Ultra Despair Girls,2017.0,Shooter,NIS America,0.03,0.0,0.01,0.01,0.04
588,Aegis of Earth: Protonovus Assault,2016.0,Action,PQube,0.03,0.01,0.0,0.01,0.04
589,Just Sing,2016.0,Music,Ubisoft,0.03,0.0,0.0,0.01,0.04
590,Wonder Boy: The Dragon's Trap (Remake),2018.0,Platform,Nicalis,0.03,0.0,0.0,0.01,0.04
591,Lumo,2016.0,Puzzle,Rising Star Games,0.03,0.0,0.0,0.01,0.04
592,ABZU,2017.0,Adventure,505 Games,0.03,0.0,0.0,0.01,0.04
593,Shadow Tactics: Blades of the Shogun,2017.0,Strategy,Kalypso Media,0.02,0.01,0.0,0.01,0.04
594,Darkest Dungeon,2018.0,Role-Playing,Merge Games,0.02,0.0,0.01,0.01,0.04
595,R.B.I. Baseball 2017,2017.0,Sports,MLB.com,0.03,0.0,0.0,0.01,0.04
596,Punch Line,2015.0,Adventure,5pb,0.03,0.0,0.0,0.01,0.04
597,VR Karts,2017.0,Racing,Perp Games,0.03,0.0,0.0,0.01,0.04
598,Resident Evil: Umbrella Corps,2016.0,Shooter,Capcom,0.0,0.0,0.04,0.0,0.04
599,Marvel Pinball: Epic Collection Volume 1,2016.0,Puzzle,Nighthawk Interactive,0.03,0.0,0.0,0.01,0.04
600,God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,2015.0,Misc,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
601,Infamous: First Light,2014.0,Action,Sony Computer Entertainment,0.0,0.03,0.0,0.0,0.03
602,Raiden V,2017.0,Action,UFO Interactive,0.02,0.0,0.0,0.01,0.03
603,The Peanuts Movie: Snoopy's Grand Adventure,2015.0,Platform,Activision,0.0,0.03,0.0,0.0,0.03
604,The Dwarves,2016.0,Role-Playing,THQ Nordic,0.03,0.0,0.0,0.01,0.03
605,Dynasty Warriors: Eiketsuden,2016.0,Strategy,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
606,Winning Post 8 2016,2016.0,Simulation,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
607,Dragon's Dogma Online: Season 2,2016.0,Action,Capcom,0.0,0.0,0.03,0.0,0.03
608,Coven and Labyrinth of Refrain,2017.0,Action,Nippon Ichi Software,0.01,0.0,0.01,0.0,0.03
609,Super Dungeon Bros,2016.0,Action,Wired Productions,0.02,0.0,0.0,0.01,0.03
610,Blade Arcus from Shining EX,2015.0,Fighting,Sega,0.0,0.0,0.03,0.0,0.03
611,Troll and I,2017.0,Action,Maximum Games,0.02,0.0,0.0,0.01,0.03
612,The Pillars of the Earth,2017.0,Adventure,Kalypso Media,0.02,0.0,0.0,0.01,0.03
613,The Lost Child,2017.0,Action,Kadokawa Games,0.01,0.0,0.01,0.0,0.03
614,Romance of the Three Kingdoms 13 with Power-Up Kit,2017.0,Misc,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
615,Koihime Enbu,2016.0,Fighting,Yeti,0.0,0.0,0.03,0.0,0.03
616,Road Rage,2017.0,Racing,Maximum Games,0.02,0.0,0.0,0.01,0.03
617,Winning Post 8 2017,2017.0,Misc,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
618,Dino Dini's Kick Off Revival,2016.0,Sports,Avanquest,0.0,0.02,0.0,0.0,0.03
619,God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,2016.0,Misc,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
620,Tumblestone,2016.0,Puzzle,Nighthawk Interactive,0.02,0.0,0.0,0.01,0.03
621,Blackguards 2,2017.0,Strategy,Kalypso Media,0.02,0.0,0.0,0.01,0.03
622,Baja: Edge of Control HD,2017.0,Racing,THQ Nordic,0.02,0.0,0.0,0.01,0.03
623,Crows: Burning Edge,2016.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
624,Geometry Wars 3: Dimensions Evolved,2016.0,Action,Activision,0.02,0.0,0.0,0.01,0.03
625,We Sing (2016),2016.0,Music,THQ Nordic,0.02,0.0,0.0,0.01,0.03
626,Shin Hayarigami 2,2016.0,Adventure,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03
627,The Town of Light,2017.0,Adventure,Wired Productions,0.02,0.0,0.0,0.01,0.03
628,OlliOlli: Epic Combo Edition,2016.0,Platform,Badland Studio,0.02,0.0,0.0,0.01,0.03
629,Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,2017.0,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
631,Ao no Kanata no Four Rhythm,2017.0,Visual Novel,Sprite,0.0,0.0,0.03,0.0,0.03
632,Zero Escape: Zero Time Dilemma,2017.0,Adventure,Aksys Games,0.02,0.0,0.0,0.0,0.03
633,AereA,2017.0,Role-Playing,Soedesco,0.02,0.0,0.0,0.0,0.03
634,Root Letter,2016.0,Visual Novel,PQube,0.0,0.0,0.03,0.0,0.03
635,ClaDun Sengoku,2017.0,Action,NIS America,0.02,0.0,0.0,0.0,0.03
636,The Girl and the Robot,2017.0,Misc,Soedesco,0.02,0.0,0.0,0.0,0.03
637,Omega Quintet,2014.0,Role-Playing,Compile Heart,0.0,0.0,0.02,0.0,0.03
638,Touhou Kobuto V: Burst Battle,2017.0,Shooter,NIS America,0.02,0.0,0.0,0.0,0.03
639,God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,2016.0,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
640,Rugby League Live 3,2015.0,Sports,Tru Blu Entertainment,0.0,0.02,0.0,0.0,0.02
641,Omega Labyrinth Z,2017.0,Role-Playing,D3Publisher,0.0,0.0,0.02,0.0,0.02
642,Lost Sphear,2017.0,Role-Playing,Square Enix,0.0,0.0,0.02,0.0,0.02
643,Superbeat: Xonic,2017.0,Music,PM Studios,0.02,0.0,0.0,0.0,0.02
644,Republique,2016.0,Action-Adventure,Gunho Online Entertainment,0.0,0.01,0.01,0.0,0.02
645,Super Stardust Ultra VR,2016.0,Shooter,Sony Interactive Entertainment,0.0,0.02,0.0,0.0,0.02
646,Redout,2017.0,Racing,505 Games,0.02,0.0,0.0,0.0,0.02
647,Resident Evil: Value Pack,2016.0,Action-Adventure,Capcom,0.0,0.0,0.02,0.0,0.02
648,God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7,2016.0,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
649,PaRappa the Rapper Remastered,2017.0,Music,Sony Interactive Entertainment,0.0,0.0,0.02,0.0,0.02
650,Earth's Dawn,2016.0,Action,Rising Star Games,0.02,0.0,0.0,0.0,0.02
651,Big Buck Hunter Arcade,2016.0,Shooter,GameMill Entertainment,0.02,0.0,0.0,0.0,0.02
652,Dungeons 2,2016.0,Role-Playing,Kalypso Media,0.02,0.0,0.0,0.0,0.02
653,Tricky Towers,2017.0,Puzzle,Soedesco,0.02,0.0,0.0,0.0,0.02
654,No Heroes Allowed! VR,2017.0,Strategy,Sony Interactive Entertainment,0.0,0.0,0.02,0.0,0.02
655,ArmaGallant: Decks of Destiny,2017.0,Strategy,Maximum Games,0.02,0.0,0.0,0.0,0.02
656,Carmageddon: Max Damage,2016.0,Action,Stainless Games,0.02,0.0,0.0,0.0,0.02
657,Armello,2018.0,Strategy,League of Geeks,0.02,0.0,0.0,0.0,0.02
658,Shaq-Fu: A Legend Reborn,2018.0,Action,Wired Productions,0.02,0.0,0.0,0.0,0.02
659,Patapon Remastered,2017.0,Music,Sony Interactive Entertainment,0.0,0.0,0.02,0.0,0.02
660,Monster Hunter Frontier Z: Beginner's Package,2016.0,Action,Capcom,0.0,0.0,0.02,0.0,0.02
661,Professional Farmer 2016,2015.0,Action,Namco Bandai Games,0.0,0.02,0.0,0.0,0.02
662,Natsuiro High School: Seishun Hakusho,2015.0,Action,D3Publisher,0.0,0.0,0.02,0.0,0.02
663,The Inner World: The Last Wind Monk,2017.0,Puzzle,Kalypso Media,0.02,0.0,0.0,0.0,0.02
664,SteamWorld Collection,2016.0,Misc,Rising Star Games,0.02,0.0,0.0,0.0,0.02
665,Konoyo no Hate de Koi o Utau Shoujo: Yu-No,2017.0,Visual Novel,5pb,0.0,0.0,0.02,0.0,0.02
666,God Eater Off Shot: Fujiki Kota-hen Twin Pack & Animation Vol.6,2016.0,Misc,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
667,Genkai Tokki: Castle Panzers,2017.0,Role-Playing,Compile Heart,0.0,0.0,0.02,0.0,0.02
668,Skullgirls: 2nd Encore,2016.0,Fighting,Arc System Works,0.0,0.0,0.02,0.0,0.02
669,This Is The Police,2017.0,Simulation,THQ Nordic,0.01,0.0,0.0,0.0,0.02
670,Rabbids Invasion: The Interactive TV Show,2014.0,Misc,Ubisoft,0.0,0.01,0.0,0.0,0.02
671,FlatOut 4: Total Insanity,2017.0,Racing,Bigben Interactive,0.01,0.0,0.0,0.0,0.02
672,Chaos;Child,2015.0,Visual Novel,PQube,0.0,0.0,0.02,0.0,0.02
673,Touhou Shinhiroku: Urban Legend in Limbo,2016.0,Fighting,Mediascape,0.0,0.0,0.02,0.0,0.02
674,Rogue Trooper: Redux,2017.0,Shooter,Rebellion,0.01,0.0,0.0,0.0,0.02
675,Space Hulk: Deathwing,2015.0,Shooter,Focus Home Interactive,0.0,0.01,0.0,0.0,0.02
676,Pharaonic,2017.0,Action,Soedesco,0.01,0.0,0.0,0.0,0.02
677,White Day,2017.0,Action,PQube,0.0,0.01,0.01,0.0,0.02
678,Torment: Tides of Numenera,2017.0,Role-Playing,Techland,0.01,0.0,0.0,0.0,0.01
679,Let It Die,2017.0,Action,GungHo,0.0,0.01,0.01,0.0,0.01
680,Summer Lesson: Miyamoto Hikari Collection,2017.0,Adventure,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01
681,Raven's Cry,2015.0,Role-Playing,TopWare Interactive,0.0,0.01,0.0,0.0,0.01
682,New Game! The Challenge Stage!,2017.0,Adventure,5pb,0.0,0.0,0.01,0.0,0.01
683,Hakoniwa Company Works,2017.0,Strategy,Nippon Ichi Software,0.0,0.0,0.01,0.0,0.01
684,DJ Max Respect,2017.0,Misc,Arc System Works,0.0,0.0,0.01,0.0,0.01
685,Battle Worlds: Kronos,2016.0,Strategy,Nordic Games,0.01,0.0,0.0,0.0,0.01
686,Dragon's Dogma Online: Season 3,2017.0,Role-Playing,Capcom,0.0,0.0,0.01,0.0,0.01
687,Occultic;Nine,2017.0,Adventure,5pb,0.0,0.0,0.01,0.0,0.01
688,Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o!,2017.0,Adventure,5pb,0.0,0.0,0.01,0.0,0.01
689,Battle Garegga Rev.2016,2016.0,Strategy,M2,0.0,0.0,0.01,0.0,0.01
690,Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. & Zoku: Oatome Set,2017.0,Adventure,5pb,0.0,0.0,0.01,0.0,0.01
691,Farming 2017 - The Simulation,2016.0,Simulation,UIG Entertainment,0.0,0.01,0.0,0.0,0.01
692,Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,2017.0,Adventure,5pb,0.0,0.0,0.01,0.0,0.01
693,Zombie Vikings,2016.0,Action,Rising Star Games,0.0,0.01,0.0,0.0,0.01
694,ATV Renegades,2017.0,Racing,Nighthawk Interactive,0.01,0.0,0.0,0.0,0.01
695,Ziggurat,2016.0,Shooter,Soedesco,0.0,0.01,0.0,0.0,0.01
696,Chaos;Child: Love Chu Chu!!,2017.0,Visual Novel,5pb,0.0,0.0,0.01,0.0,0.01
697,Moto Racer 4,2016.0,Racing,PQube,0.01,0.0,0.0,0.0,0.01
698,LocoRoco Remastered,2017.0,Platform,Sony Interactive Entertainment,0.0,0.0,0.01,0.0,0.01
699,Lock's Quest,2017.0,Strategy,THQ Nordic,0.01,0.0,0.0,0.0,0.01
700,Gal Gun: Double Peace,2015.0,Action,PQube,0.0,0.0,0.01,0.0,0.01
701,Woodcutter Simulator 2016,2015.0,Action,Namco Bandai Games,0.0,0.01,0.0,0.0,0.01
702,Akiba's Trip 2+A,2017.0,Adventure,Acquire,0.0,0.0,0.01,0.0,0.01
703,Date-A-Live Twin Edition: Rio Reincarnation,2017.0,Adventure,Compile Heart,0.0,0.0,0.01,0.0,0.01
704,Valhalla Hills,2017.0,Strategy,Kalypso Media,0.01,0.0,0.0,0.0,0.01
705,Deception IV: Blood Ties,2015.0,Action,Tecmo Koei,0.0,0.0,0.01,0.0,0.01
706,One Piece: Unlimited World Red,2017.0,Action,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01
707,Hyper Light Drifter,2017.0,Role-Playing,Active Gaming Media,0.0,0.0,0.01,0.0,0.01
708,Teslagrad,2014.0,Platform,Rain Games,0.0,0.01,0.0,0.0,0.01
709,Darius Burst: Chronicle Saviours,2017.0,Action,Kadokawa Games,0.0,0.0,0.01,0.0,0.01
710,The Escapists: The Walking Dead,2016.0,Action,Team17 Software,0.0,0.0,0.0,0.0,0.01
711,Super Meat Boy,2016.0,Platform,Team Meat,0.0,0.0,0.0,0.0,0.01
712,Blood Bowl 2,2015.0,Sports,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0
713,The Witness,2016.0,Misc,"Thekla, Inc.",0.0,0.0,0.0,0.0,0.0
714,Quantic Dream Collection,2015.0,Action,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0
715,Iwaihime: Matsuri,2017.0,Adventure,Nippon Ichi Software,0.0,0.0,0.0,0.0,0.0
716,RepKiss,2017.0,Adventure,Entergram,0.0,0.0,0.0,0.0,0.0
717,War Thunder,2017.0,Action,DMM Games,0.0,0.0,0.0,0.0,0.0
718,Tsuihou Senkyo,2017.0,Adventure,Nippon Ichi Software,0.0,0.0,0.0,0.0,0.0
719,Hustle Kings VR,2016.0,Sports,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0
720,Toki Tori 2+,2016.0,Puzzle,Two Tribes,0.0,0.0,0.0,0.0,0.0
721,Deception IV: The Nightmare Princess,2015.0,Action,Tecmo Koei,0.0,0.0,0.0,0.0,0.0
722,Kingdom Hearts HD I.5 + II.5 ReMIX,2017.0,Action,Square Enix,0.0,0.0,0.0,0.0,0.0
723,Fushigi no Chronicle: Furikaerimasen Katsu Madewa,2015.0,Action,Spike Chunsoft,0.0,0.0,0.0,0.0,0.0
725,Agatha Christie: The ABC Murders,2016.0,Adventure,Microids,0.0,0.0,0.0,0.0,0.0
726,Ancients of Ooga - The Forgotten Chapters,2016.0,Platform,Koch Media,0.0,0.0,0.0,0.0,0.0
730,Blacklight: Retribution,2013.0,Misc,Perfect World Entertainment,0.0,0.0,0.0,0.0,0.0
731,Bladestorm: The Hundred Years' War,2015.0,Action,BioWare,0.0,0.0,0.0,0.0,0.0
732,Brothers in Arms: Furious 4,2019.0,Shooter,Ubisoft,0.0,0.0,0.0,0.0,0.0
736,DC Universe Online,2013.0,MMO,Sony Online Entertainment,0.0,0.0,0.0,0.0,0.0
740,Industry Giant II,2017.0,Strategy,UIG Entertainment,0.0,0.0,0.0,0.0,0.0
742,Kingdom Under Fire II,2014.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0
746,Mount & Blade: Warband,2016.0,Role-Playing,Taleworlds,0.0,0.0,0.0,0.0,0.0
750,Psychonauts,2017.0,Action,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0
751,Resident Evil 5,2016.0,Action,Capcom,0.0,0.0,0.0,0.0,0.0
755,The Amazing Spider-Man 2,2014.0,Misc,Activision,0.0,0.0,0.0,0.0,0.0
758,Ether One,2015.0,Adventure,Soedesco,0.0,0.0,0.0,0.0,0.0
759,Uncharted 2: Among Thieves,2016.0,Action,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0
760,Uncharted 3: Drake's Deception,2016.0,Action,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0
762,Uncharted: Drake's Fortune,2016.0,Action,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0
764,Awesomenauts,2014.0,Misc,DTP Entertainment,0.0,0.0,0.0,0.0,0.0
774,Broken Age,2015.0,Adventure,Nordic Games,0.0,0.0,0.0,0.0,0.0
777,Slender: The Arrival,2015.0,Adventure,Unknown,0.0,0.0,0.0,0.0,0.0
778,deep down (Working Title),2020.0,Misc,Capcom,0.0,0.0,0.0,0.0,0.0
781,Human Element,2015.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0
782,Whore of the Orient,2020.0,Misc,Warner Bros. Interactive Entertainment,0.0,0.0,0.0,0.0,0.0
783,Cyberpunk 2077,2018.0,Action-Adventure,CD Projekt Red Studio,0.0,0.0,0.0,0.0,0.0
784,Final Fantasy (PS4),2020.0,Misc,Square Enix,0.0,0.0,0.0,0.0,0.0
788,Contrast,2013.0,Misc,Compulsion Games,0.0,0.0,0.0,0.0,0.0
790,Carmageddon: Reincarnation,2015.0,Misc,Stainless Games,0.0,0.0,0.0,0.0,0.0
791,Rocketbirds 2: Evolution,2020.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0
792,Primal Carnage: Genesis,2020.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0
803,Kingdom Hearts III,2019.0,Role-Playing,Square Enix,0.0,0.0,0.0,0.0,0.0
809,Yaiba: Ninja Gaiden Z,2014.0,Misc,Tecmo Koei,0.0,0.0,0.0,0.0,0.0
816,Pinball Arcade,2013.0,Misc,FarSight Studios,0.0,0.0,0.0,0.0,0.0
817,Toukiden: The Age of Demons,2014.0,Action,Tecmo Koei,0.0,0.0,0.0,0.0,0.0
818,Reus,2016.0,Strategy,Soedesco,0.0,0.0,0.0,0.0,0.0
819,Strider (2014),2014.0,Platform,Capcom,0.0,0.0,0.0,0.0,0.0
821,EverQuest Next,2019.0,MMO,Sony Online Entertainment,0.0,0.0,0.0,0.0,0.0
834,Velocity 2X,2014.0,Action,Futurlab 1,0.0,0.0,0.0,0.0,0.0
835,Helldivers,2015.0,Action,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0
841,WonderFlick,2014.0,Misc,Level 5,0.0,0.0,0.0,0.0,0.0
842,Monochroma,2014.0,Misc,Nowhere Studios,0.0,0.0,0.0,0.0,0.0
847,Lily Bergamo,2014.0,Misc,GungHo,0.0,0.0,0.0,0.0,0.0
857,Get Even,2015.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0
865,TowerFall,2014.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0
871,SOMA (2015),2015.0,Misc,Frictional Games,0.0,0.0,0.0,0.0,0.0
872,Cult County,2015.0,Misc,Renegade Kid,0.0,0.0,0.0,0.0,0.0
874,R.B.I. Baseball 14,2014.0,Misc,MLB.com,0.0,0.0,0.0,0.0,0.0
877,Blue EstateÊ,2014.0,Misc,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0
891,Pure PoolÊ,2014.0,Misc,Triniti Interactive,0.0,0.0,0.0,0.0,0.0
892,Without Memory,2016.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0
896,Bombshell,2014.0,Misc,3D Realms,0.0,0.0,0.0,0.0,0.0
898,The Forest,2015.0,Action,Endnight Games LtdÊ,0.0,0.0,0.0,0.0,0.0
904,Falling Skies: The GameÊ,2015.0,Role-Playing,Little Orbit,0.0,0.0,0.0,0.0,0.0
908,EA Sports PGA Tour,2015.0,Sports,EA Sports,0.0,0.0,0.0,0.0,0.0
909,Dead Island 2,2017.0,Action,Deep Silver,0.0,0.0,0.0,0.0,0.0
916,Tetris UltimateÊ,2014.0,Puzzle,Ubisoft,0.0,0.0,0.0,0.0,0.0
917,Afro Samurai 2,2015.0,Action,Versus Evil,0.0,0.0,0.0,0.0,0.0
918,The Legend of Korra (2014),2014.0,Action,Activision,0.0,0.0,0.0,0.0,0.0
919,The Vanishing of Ethan CarterÊ,2015.0,Adventure,The Astronauts,0.0,0.0,0.0,0.0,0.0
920,Godzilla (2014),2014.0,Action,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0
921,Gran Turismo 7,2020.0,Racing,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0
933,Wild,2019.0,Adventure,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0
943,Tadeo Jones y el manuscrito perdido,2014.0,Adventure,Deep Silver,0.0,0.0,0.0,0.0,0.0
945,OlliOlli 2: Welcome to Olliwood,2016.0,Sports,PQube,0.0,0.0,0.0,0.0,0.0
946,Pathologic,2015.0,Adventure,Ice-pick Lodge,0.0,0.0,0.0,0.0,0.0
948,Rebel Galaxy,2015.0,Role-Playing,Double Damage Games,0.0,0.0,0.0,0.0,0.0
952,Assassin's Creed: Victory,2015.0,Action,Ubisoft,0.0,0.0,0.0,0.0,0.0
953,Silent Hills,2020.0,Action,Konami Digital Entertainment,0.0,0.0,0.0,0.0,0.0
973,Overlord: Fellowship of Evil,2015.0,Action,Codemasters,0.0,0.0,0.0,0.0,0.0
974,R.B.I. Baseball 15,2015.0,Sports,MLB.com,0.0,0.0,0.0,0.0,0.0
976,Wander,2015.0,Role-Playing,Wander MMO,0.0,0.0,0.0,0.0,0.0
981,Final Fantasy VII Remake,2019.0,Role-Playing,Square Enix,0.0,0.0,0.0,0.0,0.0
982,Ikenie to Yuki no Setsuna,2016.0,Role-Playing,Square Enix,0.0,0.0,0.0,0.0,0.0
983,Atelier Sophie,2020.0,Role-Playing,Gust,0.0,0.0,0.0,0.0,0.0
984,Dengeki Bunko: Fighting Climax Ignition,2015.0,Action,Sega,0.0,0.0,0.0,0.0,0.0
985,World Soccer Winning Eleven 2015,2015.0,Action,Konami Digital Entertainment,0.0,0.0,0.0,0.0,0.0
987,Cross Reverie,2017.0,Role-Playing,Sinxsoft,0.0,0.0,0.0,0.0,0.0
988,Airship Q,2019.0,Platform,Cygames,0.0,0.0,0.0,0.0,0.0
989,Killing Bites,2016.0,Action,Unknown,0.0,0.0,0.0,0.0,0.0
991,Tiny Troopers Joint Ops,2014.0,Action,Unknown,0.0,0.0,0.0,0.0,0.0
992,The London Heist,2016.0,Shooter,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0
993,Risen 3 Enhanced Edition,2015.0,Role-Playing,Deep Silver,0.0,0.0,0.0,0.0,0.0
994,Air Conflicts: Pacific Carriers,2015.0,Simulation,Kalypso Media,0.0,0.0,0.0,0.0,0.0
